dt,close,signal
2025-08-05 15:25:00+00:00,112957.33,0
2025-08-05 15:30:00+00:00,112903.52,0
2025-08-05 15:35:00+00:00,112807.08,0
2025-08-05 15:40:00+00:00,112795.09,0
2025-08-05 15:45:00+00:00,112772.8,0
2025-08-05 15:50:00+00:00,112873.35,0
2025-08-05 15:55:00+00:00,112934.72,0
2025-08-05 16:00:00+00:00,113036.63,0
2025-08-05 16:05:00+00:00,113103.43,0
2025-08-05 16:10:00+00:00,113128.69,0
2025-08-05 16:15:00+00:00,113039.41,0
2025-08-05 16:20:00+00:00,113062.43,0
2025-08-05 16:25:00+00:00,113205.76,0
2025-08-05 16:30:00+00:00,113212.49,0
2025-08-05 16:35:00+00:00,113131.54,0
2025-08-05 16:40:00+00:00,113046.95,0
2025-08-05 16:45:00+00:00,113037.99,0
2025-08-05 16:50:00+00:00,113198.03,-1
2025-08-05 16:55:00+00:00,113176.11,-1
2025-08-05 17:00:00+00:00,113208.22,0
2025-08-05 17:05:00+00:00,113173.14,0
2025-08-05 17:10:00+00:00,113240.31,0
2025-08-05 17:15:00+00:00,113237.13,0
2025-08-05 17:20:00+00:00,113362.9,0
2025-08-05 17:25:00+00:00,113388.03,-1
2025-08-05 17:30:00+00:00,113438.07,-1
2025-08-05 17:35:00+00:00,113352.85,0
2025-08-05 17:40:00+00:00,113340.67,0
2025-08-05 17:45:00+00:00,113346.91,0
2025-08-05 17:50:00+00:00,113502.47,-1
2025-08-05 17:55:00+00:00,113640.49,-1
2025-08-05 18:00:00+00:00,113537.75,0
2025-08-05 18:05:00+00:00,113621.34,-1
2025-08-05 18:10:00+00:00,113504.42,0
2025-08-05 18:15:00+00:00,113575.45,0
2025-08-05 18:20:00+00:00,113554.01,0
2025-08-05 18:25:00+00:00,113439.91,0
2025-08-05 18:30:00+00:00,113503.19,0
2025-08-05 18:35:00+00:00,113463.42,0
2025-08-05 18:40:00+00:00,113376.44,0
2025-08-05 18:45:00+00:00,113419.67,0
